property_transactions,mortgages_amount,consumer_price_index,gross_income,unemployment_rate,construction_workers,property_price_index
70548.0,3586918000.0,104.824,308885000000.0,14.02,1270200.0,124.175
75655.0,3849970000.0,103.698,303874000000.0,14.7,1295900.0,122.758
59764.0,2697364000.0,104.405,302307000000.0,14.45,1277600.0,120.954
74851.0,4229837000.0,104.029,298817000000.0,14.55,1228400.0,120.491
76049.0,3818936000.0,104.376,297205000000.0,15.28,1213200.0,117.941
69612.0,3200854000.0,102.329,294524000000.0,16.74,1178000.0,114.994
55174.0,2397226000.0,103.184,292144000000.0,16.55,1163500.0,113.457
64639.0,3636374000.0,101.73,289201000000.0,16.38,1147400.0,112.442
75763.0,3470549000.0,102.055,286688000000.0,17.22,1134100.0,110.41
72187.0,3183072000.0,101.101,283345000000.0,18.75,1111400.0,108.239
51416.0,2330263000.0,102.049,279452000000.0,18.63,1099900.0,105.848
59330.0,3035576000.0,99.939,277668000000.0,18.91,1097500.0,105.431
63246.0,2830557000.0,100.537,275330000000.0,20.0,1078100.0,104.601
55363.0,2481849000.0,98.838,272345000000.0,21.0,1065300.0,102.775
48902.0,2113811000.0,100.472,269864000000.0,20.9,1078000.0,101.305
52952.0,2683365000.0,99.761,268589000000.0,21.18,1073000.0,101.358
56172.0,2290331000.0,101.343,265597000000.0,22.37,1069100.0,100.687
49771.0,2066074000.0,99.676,262605000000.0,23.78,1057500.0,96.651
46051.0,1682738000.0,100.455,258702000000.0,23.7,1029400.0000000001,97.194
47924.0,2107340000.0,100.645,255406000000.0,23.67,1014600.0,97.002
46716.0,1688642000.0,101.286,251997000000.0,24.47,991100.0,96.805
48298.0,1682357000.0,100.342,251598000000.0,25.93,972500.0,95.208
39824.0,1252198000.0,101.512,250276000000.0,25.73,994700.0,95.512
42646.0,1451776000.0,100.801,249522000000.0,25.65,1015900.0,96.742
44626.0,1401963000.0,101.199,250503000000.0,26.06,1037900.0000000001,96.041
41014.0,1580473000.0,100.488,250767000000.0,26.94,1079500.0,96.768
41596.0,1807904000.0,101.257,250269000000.0,25.77,1104100.0,103.593
47710.0,2213125000.0,100.458,253178000000.0,24.79,1151100.0,105.073
46305.0,2604104000.0,99.153,252949000000.0,24.4,1214500.0,109.187
48585.0,2558435000.0,98.108,254296000000.0,24.19,1222700.0,112.861
42244.0,2543916000.0,98.434,254443000000.0,22.56,1293000.0,118.782
47165.0,3450069000.0,97.143,257824000000.0,21.28,1371400.0,123.948
54666.0,3589903000.0,97.308,259828000000.0,20.64,1434100.0,127.528
62329.0,4836415000.0,96.28,259753000000.0,21.08,1518300.0,129.059
56482.0,4511779000.0,96.148,262111000000.0,20.11,1576500.0,133.718
64445.0,6345183000.0,94.184,259924000000.0,19.59,1650600.0,133.846
70356.0,6766338000.0,94.305,260513000000.0,19.89,1694600.0,136.79
73016.0,6331139000.0,92.938,261943000000.0,19.84,1694700.0,134.626
61602.0,5684975000.0,93.358,258721000000.0,18.66,1790700.0,136.313
70245.0,7371402000.0,92.221,259275000000.0,17.75,1836600.0,136.845
69241.0,7289699000.0,92.911,258277000000.0,17.77,1929000.0,138.082
70395.0,6246220000.0,91.641,258655000000.0,17.24,2008900.0,138.693
66548.0,6405874000.0,92.622,263925000000.0,13.79,2177400.0,142.511
88177.0,8892434000.0,93.177,266606000000.0,11.23,2358500.0,147.134
87205.0,9686306000.0,93.847,266876000000.0,10.36,2532300.0,149.618
89062.0,9995946000.0,91.697,265891000000.0,9.6,2685000.0,150.082
83627.0,10327515000.0,91.314,264195000000.0,8.57,2750800.0,150.64
111436.0,15411789000.0,89.131,258753000000.0,8.01,2755300.0,151.719
122882.0,16449745000.0,89.368,258172000000.0,7.93,2761700.0,150.103
138804.0,17146412000.0,87.747,255120000000.0,8.42,2750200.0,145.935
